Trig Name,STATION NAME,New Name,EASTING,NORTHING,HEIGHT,ORDER,TYPE OF MARK,SECONDARY COMPUTING BLOCK,Computing Date,Maintained,CLASS OF LEVELLING,Date of Levelling,LEVELLING DATUM,DESTROYED MARK INDICATOR,COMMENTS
Hill Top,SK39/T47,SK39T047,439619.78,392912.09,139.497,3,PILLAR,SK39,01/06/1948,01/06/1985,1,01/11/1963,N,1,Refixed 1988
Hill Top,SK56/T8,SK56T008,442612.48,358026.79,0,4,BLOCK,SK56,01/06/1948,,0,,,1,Dest 9/77
Hill Top,SO96/T25,SO96T025,399752.79,262212.94,109.977,3,PILLAR,SO96,01/06/1948,01/08/1983,1,01/05/1961,N,0,
Hill Top,SU31/19,SU31S019,440394.436,104594.381,40.36,2,PILLAR,SU31,01/06/1942,01/12/1989,1,01/10/1959,N,0,
Hill Top Farm,NZ42/T295,NZ42T295,415214.94,497907.16,0,4,BLOCK,NZ42,01/06/1966,,0,,,0,
Hill Top Farm,SD80/T280,SD80T280,388559,382807.28,94.911,3,PILLAR,SD80,01/06/1945,01/02/1980,1,01/06/1959,N,0,
Hill Top Farm,SK39/T10,SK39T010,427600.91,399129.14,303.215,3,PILLAR,SE22,01/06/1948,01/07/1985,1,01/08/1959,N,0,
Hill Top House,SD30/T251,SD30T251,348929.46,398574.36,0,4,BURIED BLK,SD30,01/06/1952,01/12/1960,0,,,0,
Hill Top Observation Post,SE22/T171,SE22T171,409129.09,433319.58,0,4,RIVET,SE22,01/06/1954,01/05/1961,0,,,1,Destroyed 03/90
Hill View Farm,ST57/T120,ST57T120,334618.6,161861.58,0,4,BOLT,ST57,01/06/1949,,0,,,1,Dest 10/67
Hill View School Belfry,SU31/INT186,SU31I186,408184.06,95199.65,0,4,BELFRY,BMTH,01/06/1942,01/08/1977,0,,,0,
Hillam Common,SE44/T170,SE44T170,451703.63,428888.63,0,4,BLOCK,SE44,01/06/1954,,0,,,1,Dest 06/88
Hillcrest Court,TQ47/T137,TQ47T137,524435.7,185005.9,0,3,BOLT,TQ47,01/06/1945,01/08/1986,0,,,0,
Hillcrest Hall,TQ47/T381,TQ47T381,528957.7,163732.66,0,4,BOLT,TQ47,01/06/1950,,0,,,1,Dest 09/85
Hillcrest Twr,TQ47/T132,TQ47T132,517981.97,181795.44,0,3,BOLT,TQ47,01/06/1945,,0,,,1,Dest 02/70
Hillcrest Twr,TQ47/T132,TQ47T132,517981.95,181795.03,0,3,CENTRE,TQ47,01/06/1945,,0,,,1,Dest 02/70
Hillcrest Twr,TQ47/T132,TQ47T132,517982.7,181793.25,0,3,FLAGSTAFF,TQ47,01/06/1945,,0,,,1,Dest 02/70
Hillend,SJ90/T7,SJ90T007,381080.1,295003.47,139.464,3,PILLAR,SJ90,01/06/1948,01/05/1982,1,01/03/1961,N,0,
Hillesden Ch Twr,SP74/6,SP74S006,468555.687,228750.909,0,2,BOLT,SP74,01/06/1955,01/09/1986,0,,,0,BOLT MISSING  SEE TRIG FILE
Hillesden Ch Twr,SP74/6,SP74S006,468556.68,228751.87,0,3,CENTRE,SP74,01/06/1955,01/09/1986,0,,,0,
Hillesden Ch Twr,SP74/6,SP74S006,468556.68,228751.87,0,3,FLAGSTAFF,SP74,01/06/1955,,0,,,1,Dest 1972
Hillfields Farm,SO96/T73,SO96T073,381351.55,279579.95,0,4,BOLT,SO96,01/06/1949,,0,,,1,Recomputed 06/87
Hillfields Farm,SO96/T73,SO96T073,381351.46,279579.85,0,3,BOLT,SO96,01/06/1987,01/08/1961,0,,,0,
Hillhead,NO89/16,NO89S016,379571.139,776809.144,174.589,2,PILLAR,NO89,01/06/1950,01/09/1973,1,01/10/1952,N,0,
Hillhead,NZ29/T17,NZ29T017,419099.69,608027.98,171.431,3,PILLAR,NZ29,01/06/1947,01/10/1978,1,01/06/1966,N,0,
Hillhead,ST11/T195,ST11T195,321394.26,127002.75,0,4,BURIED BLK,ST53,01/06/1954,,0,,,0,
Hillhead Farm,PP478,PP478,327801.461,963351.281,53.769,1,PILLAR,FIG6,01/06/1951,01/06/1981,1,01/06/1952,N,0,
Hillhead High School,NS77/T137,NS77T137,256995.29,667177.52,0,3,BOLT,NS77,01/06/1947,01/11/1971,0,,,0,
Hillhead High School,NS77/T137,NS77T137,256990.07,667166.62,0,3,FLAGSTAFF,NS77,01/06/1947,01/11/1971,0,,,1,
Hillhead Mountblairy,NJ75/T25,NJ75T025,368162.43,853228.28,136.279,3,PILLAR,NJ75,01/06/1952,01/06/1987,1,01/06/1974,N,0,
Hillhead Of Cocklaw,NK03/T2,NK03T002,408823.2,844315.83,94.405,3,PILLAR,NK03,01/06/1953,01/09/1993,1,01/03/1955,N,0,
Hillhead Of Coldwells,NK03/16,NK03S016,411395.181,841062.423,0,2,RIVET,NK03,01/08/1986,01/08/1986,0,,,0,12/95 FIELD FILE MAY NOT EXIST
Hillhead Of Fechil,NK03/T3,NK03T003,395602.01,829728.32,49.395,3,PILLAR,NK03,01/06/1953,01/08/1981,1,01/02/1955,N,0,
Hillhead Primary School,NS77/T507,NS77T507,256985.98,667154.76,0,3,BOLT,NS77,01/06/1989,01/03/1989,0,,,0,
Hillhead Resr,NK03/T20,NK03T020,375088.24,827599.02,0,3,BOLT,NK03,01/06/1953,01/05/1989,0,,,0,
Hillhead West Denton,NZ29/T65,NZ29T065,418544.2,566032.5,0,3,BURIED BLK,NZ29,01/06/1947,,0,,,1,Dest 12/52
Hillhead Wick,ND25/T25,ND25T025,337500.74,951415.76,0,3,BLOCK,ND25,01/06/1952,01/06/1981,0,,,0,
Hillhouse,NS77/T258,NS77T258,301011.74,674909.55,0,4,BURIED BLK,NS77,01/06/1952,,0,,,0,
Hillhouse,NY45/T31,NY45T031,352086.43,566998.81,115.318,3,PILLAR,NY45,01/06/1953,01/06/1978,1,01/03/1955,N,0,
Hillhouse,SP91/T184,SP91T184,500532.83,207792.12,0,4,BLOCK,SP91,01/06/1967,,0,,,0,
Hillhouse Cong Ch Sp Hudds'Fd,SE22/INT51,SE22I051,414455.45,417957.02,0,4,SPIRE,SE22,01/06/1949,,0,,,1,Dest 07/85
Hillingdon Bridge,TQ08/T169,TQ08T169,507428.18,184937.56,0,4,BOLT,TQ08,01/06/1953,,0,,,1,Destroyed 02/91
Hillingdon Farm,NZ42/T33,NZ42T033,406283.48,521224.16,248.518,3,PILLAR,NZ42,01/06/1948,01/11/1980,1,01/06/1958,N,0,
Hillingdon Hospl,TQ08/T284,TQ08T284,506813.01,181891.17,0,3,MAST,TQ08,01/06/1986,,0,,,0,
Hillingdon Hospl,TQ08/T284,TQ08T284,506811.03,181892.35,0,4,RIVET,TQ08,01/06/1981,01/01/1981,0,,,0,
Hillington Wtr Twr,NS77/T117,NS77T117,251766.4,665122.82,0,3,BOLT,NS77,01/06/1947,,0,,,1,Dest 6/76
Hillmorton Railway Embankment,SP69/T129,SP69T129,454876.35,273349.3,117.28,4,BLOCK,SP69,01/06/1954,,1,01/06/1963,N,1,Recomp 1986
Hillmorton Railway Embankment,SP69/T129,SP69T129,454876.28,273349.19,117.28,3,BLOCK,SP69,01/05/1986,01/04/1962,1,01/06/1963,N,0,
Hillmorton Sandpits,SP69/T130,SP69T130,453148.04,274346.97,111.568,4,BLOCK,SP69,01/06/1954,,1,01/06/1963,N,1,Dest 7/83
Hillocks Farm,SO96/T24,SO96T024,365252.38,275987.27,219.611,3,PILLAR,SO96,01/06/1948,01/07/1983,1,01/09/1973,N,0,
Hills,NJ45/T27,NJ45T027,331531.17,861727.24,70.793,3,PILLAR,NJ45,01/06/1953,01/06/1987,1,01/12/1953,N,0,
Hillsborough,SS72/T82,SS72T082,253271.48,147911.82,0,3,BURIED BLK,SS72,01/06/1949,01/05/1976,0,,,0,
Hillside,NT18/T36,NT18T036,306911.36,703444.75,185.01,3,PILLAR,NT18,01/06/1947,01/08/1987,1,01/12/1954,N,0,
Hillside,ST53/T85,ST53T085,356447.13,118044.83,0,3,BLOCK,ST53,01/06/1952,,0,,,1,Dest 08/54
Hillside County School Cupola,SO11/INT54,SO11I054,325540.49,208997.41,0,4,CUPOLA,SO11,01/06/1955,,0,,,1,Dest 04/77
Hillside Farm,TL05/T157,TL05T157,490836.94,270698.76,0,4,BLOCK,TL05,01/06/1963,,0,,,1,Dest 08/88
Hillside Road,TQ53/T85,TQ53T085,581063.52,112486.44,0,4,BURIED BLK,TQ53,01/06/1951,,0,,,1,Dest 07/68
Hillstown Wtr Twr,SK56/4,SK56S004,447907.168,369887.21,194.899,2,BOLT,A001,01/06/1987,01/05/1983,2,01/06/1987,N,0,N CEN ENGLAND ADJUSTMENT
Hillstown Wtr Twr,SK56/4,SK56S004,447907.16,369887.61,0,2,BOLT,SK56,01/06/1957,,0,,,1,Revalued 1987
Hillstown Wtr Twr,SK56/4,SK56S004,447907.314,369887.573,0,2,BOLT,SK56,01/06/1938,,0,,,1,Revalued 1957
Hillstown Wtr Twr,SK56/4,SK56S004,447907.31,369887.29,0,3,CENTRE,A001,01/07/1988,01/07/1988,0,,,0,
Hillstown Wtr Twr,SK56/4,SK56S004,447908.36,369885.87,0,3,FLAGSTAFF,SK56,01/06/1957,,0,,,1,Refixed 07/88
Hillstown Wtr Twr,SK56/4,SK56S004,447908.51,369885.83,0,3,FLAGSTAFF,SK56,01/06/1955,,0,,,1,Revalued 1957
Hillstown Wtr Twr,SK56/4,SK56S004,447908.35,369885.48,0,3,FLAGSTAFF,A001,01/07/1988,01/05/1983,0,,,0,
Hillstown Wtr Twr,SK56/4,SK56S004,447907.31,369887.29,0,3,MAST,A001,01/07/1988,01/07/1988,0,,,0,
Hillton,NJ75/T33,NJ75T033,371129.79,855805.39,101.461,3,PILLAR,NJ75,01/06/1952,01/07/1987,1,01/06/1975,N,0,
Hilltop,NY45/T32,NY45T032,341510.84,574907.4,103.327,3,PILLAR,NY45,01/06/1953,01/07/1966,2,01/06/1953,N,0,
Hilltop,SK22/17,SK22S017,408602.33,314281.88,114.473,3,PILLAR,SK03,01/06/1948,01/04/1982,1,01/07/1957,N,0,Also Block SJ82
Hilltop Ch Twr,SJ90/T43,SJ90T043,399269.52,293579.85,0,4,BOLT,SJ90,01/06/1949,01/09/1970,0,,,1,Destroyed 11/89
Hilltop Ch Twr,SJ90/T43,SJ90T043,399269.09,293580.22,0,4,CENTRE,SJ90,01/06/1949,01/09/1970,0,,,1,Destroyed 11/89
Hilltop Farm,SK56/T21,SK56T021,446732.3,360076.89,0,3,BLOCK,SK56,01/06/1977,01/06/1984,0,,,0,
Hilltop Farm,SK56/T21,SK56T021,446732.14,360076.75,0,4,BLOCK,SK56,01/06/1953,,0,,,1,Revalued 1977
Hilltop Farm,SO96/T82,SO96T082,394109.18,274168.68,0,4,BURIED BLK,SO96,01/06/1951,01/07/1961,0,,,0,
Hilltop Farm,TQ53/T161,TQ53T161,526717.33,135596.41,0,4,BURIED BLK,TQ53,01/06/1954,,0,,,1,Dest 04/68
Hilltop Quarry,SS30/T67,SS30T067,244082.49,127585.82,0,3,BURIED BLK,SS30,01/06/1950,,0,,,1,Dest 09/53
Hilltown,SS72/T76,SS72T076,256496.52,95099.57,268.028,3,BLOCK,SS72,01/06/1949,01/07/1976,1,01/06/1969,N,0,
Hilltown Of Balmuir,NO42/T48,NO42T048,340104.16,735006.47,149.882,4,BLOCK,NO42,01/06/1949,01/08/1961,1,01/06/1972,N,0,
Hillwood,NT18/T6,NT18T006,313111.66,671006.86,115.854,3,PILLAR,NT18,01/06/1947,01/04/1980,1,01/04/1957,N,0,
Hilly Field,SJ95/T27,SJ95T027,397818.5,357876.7,193.971,3,PILLAR,SJ95,01/06/1947,01/07/1978,1,01/06/1970,N,0,
Hilly Fields,TQ47/T398,TQ47T398,537381.22,175270.94,50.816,3,PILLAR,TQ47,01/06/1945,01/04/1992,1,01/11/1977,N,0,
Hilton,NH54/T41,NH54T041,267176.96,843157.96,0,4,BURIED BLK,NH54,01/06/1958,,0,,N,1,Dest 2/67
Hilton,NO89/T128,NO89T128,382702.11,799249.41,0,4,BLOCK,NO89,01/06/1965,,0,,,1,Dest 2/87
Hilton,NS77/T139,NS77T139,253208.16,677359.42,171.504,3,PILLAR,NS77,01/06/1947,01/10/1971,1,01/06/1968,N,0,
Hilton,NT48/T21,NT48T021,330416.28,705380.06,157.782,3,PILLAR,NT48,01/06/1943,,1,01/06/1967,N,1,Recomp 1987
Hilton,NT48/T21,NT48T021,330416.37,705380.08,157.782,3,PILLAR,NT48,01/02/1987,01/06/1986,1,01/06/1967,N,0,
Hilton Heights,NO89/T133,NO89T133,382182.54,799219.33,0,3,BLOCK,NO89,01/06/1987,,0,,,0,
Hilton Main Colly Fs,SJ90/INT63,SJ90I063,394105.14,304355.23,0,4,FLAGSTAFF,SJ90,01/06/1953,,0,,,1,Dest 10/82
Hilton Old Windmill,NK03/INT21,NK03I021,394175.3,834051.31,0,3,APEX,NK03,01/06/1953,01/04/1989,0,,,0,
Hilton Resr,NC60/15,NC60S015,292610.368,885800.253,55.711,2,PILLAR,NC60,01/06/1956,01/05/1988,1,01/06/1972,N,0,
Himley Ch Twr,SJ90/T84,SJ90T084,388290.16,291105.22,0,4,BOLT,SJ90,01/06/1949,,0,,,1,Dest 10/57
Himley Ch Twr,SJ90/T84,SJ90T084,388290.7,291105.06,0,4,CENTRE,SJ90,01/06/1949,,0,,,1,Dest 10/57
Himley Ch Twr,SJ90/T84,SJ90T084,388290.7,291105.06,0,4,FLAGSTAFF,SJ90,01/06/1949,,0,,,1,Dest 10/57
Hinckley Ch Sp,SP38/INT27,SP38I027,442697.77,293820.7,0,4,SPIRE,SP38,01/06/1954,01/03/1962,0,,,0,
Hinckley Road,SP69/T72,SP69T072,452252.43,302749.69,0,4,BOLT,SP69,01/06/1949,,0,,,1,BOLT IN KERBSTONE DEST 5/66
Hinckley Wtr Twr,SP38/30,SP38S030,443106.749,294393.987,0,2,RIVET,SP38,01/06/1943,01/07/1978,0,,,0,
Hincks Road,SJ82/T50,SJ82T050,371208.65,315224.28,0,4,BLOCK,SJ82,01/06/1954,,0,,,1,Dest 02/70
Hind Low,SK39/T48,SK39T048,408087.15,368959.57,448.97,3,PILLAR,SK39,01/06/1948,,2,01/06/1947,N,1,Dest 8/70
Hinderclay Ch Twr,TM17/T21,TM17T021,602698.69,276835.54,0,3,BOLT,TM17,01/06/1953,01/07/1976,0,,,0,
Hinderclay Ch Twr,TM17/T21,TM17T021,602697.64,276835.46,0,3,CENTRE,TM17,01/06/1953,01/07/1976,0,,,0,
Hinderton Wtr Twr,SD30/T302,SD30T302,331112.67,378204,0,4,BOLT,SD30,01/06/1954,,0,,,1,Dest 10/81
Hinderwell Beacon,NZ42/T87,NZ42T087,479328.58,517811.16,115.753,3,PILLAR,NZ42,01/06/1948,,1,01/04/1959,N,1,Recomputed 1986
Hinderwell Beacon,NZ42/T87,NZ42T087,479328.55,517811.13,115.753,3,PILLAR,NZ42,01/02/1986,01/04/1981,1,01/04/1959,N,0,
Hindhead,PP31,PP031,489984.58,135909.726,272.848,1,PILLAR,FIG5,01/06/1938,01/07/1991,1,01/06/1973,N,0,
Hindhope Law,NT72/T48,NT72T048,376711.29,597432.06,425.5,3,PILLAR,NT72,01/06/1957,01/08/1978,2,01/06/1958,N,0,
Hindleap,TQ53/11,TQ53S011,540354.134,132380.525,187.872,2,PILLAR,TQ53,01/06/1949,01/04/1982,1,01/06/1976,N,0,
Hindley Green Belfry Vane,SD80/INT63,SD80I063,364000.43,403061.18,0,4,VANE,SD80,01/06/1948,,0,,,0,
Hindley Green Ch Twr Dome,SD80/INT64,SD80I064,363814.18,402200.33,0,3,DOME,SD80,01/06/1945,,0,,,1,Dest 01/77
Hindley Hall Golf Course,SD30/T203,SD30T203,361821.87,405894.86,0,4,BURIED BLK,SD30,01/06/1951,,0,,,0,
Hindlip Hall,SO96/T88,SO96T088,388105.67,258571.13,0,4,FLAGSTAFF,SO96,01/06/1958,,0,,,1,Dest 07/68
Hindlip Hall,SO96/T88,SO96T088,388106.09,258559.94,0,4,RIVET,SO96,01/06/1958,,0,,,1,Dest 07/68
Hindlip Police Mast,SO96/INT27,SO96I027,388049.13,258524.05,0,3,MAST,SO96,01/06/1983,01/06/1983,0,,,1,Destroyed 10/90
Hindringham Ch Twr,TF92/7,TF92S007,598406.956,336408.422,0,2,BOLT,TF92,01/06/1938,01/07/1981,0,,,0,
Hindringham Ch Twr,TF92/7,TF92S007,598405.79,336410,0,3,CENTRE,TF92,01/06/1938,01/07/1981,0,,,0,
Hindringham Ch Twr,TF92/7,TF92S007,598405.79,336410,0,3,FLAGSTAFF,TF92,01/06/1938,01/07/1981,0,,,0,
Hingey,SW63/T36,SW63T036,165706.41,21752.87,63.703,3,BOLT,SW63,01/06/1955,,2,01/06/1955,N,1,Ht to bolt in platform.  Dest 07/73
Hingham Ch Twr,/PP287,0,602153.1,302128.34,0,3,CENTRE,FIG6,01/06/1950,01/09/1981,0,,,0,
Hingham Ch Twr,/PP287,0,602153.1,302128.34,0,3,OLD TRIG,FIG6,01/06/1950,01/09/1981,0,,,0,
Hingham Ch Twr,/PP287,0,602153.1,302128.34,0,3,VANE,FIG6,01/06/1950,01/09/1981,0,,,0,
Hingham Ch Twr,PP287,PP287,602154.586,302126.358,0,1,BOLT,FIG5,01/06/1938,01/09/1981,0,,,0,
Hinksey Halt Footbridge,SP42/T71,SP42T071,451277.12,204565.08,0,3,RIVET,SP42,01/06/1952,01/03/1972,0,,,0,
Hinstock,SJ82/6,SJ82S006,369534.994,325011.729,101.803,2,PILLAR,SJ82,01/06/1948,01/05/1982,1,01/06/1961,N,0,
Hinton St George Ch Twr,ST53/T19,ST53T019,341829.25,112681.98,0,3,BOLT,ST53,01/06/1952,01/12/1975,0,,,0,
Hinton St George Ch Twr,ST53/T19,ST53T019,341828.56,112683.85,0,3,FLAGSTAFF,ST53,01/06/1952,01/12/1975,0,,,0,
Hinton St George Ch Twr,ST53/T19,ST53T019,341831.25,112680.22,0,3,VANE,ST53,01/06/1952,01/12/1975,0,,,0,
Hinton St Mary Ch Twr,ST70/T29,ST70T029,378668.14,116094.52,0,3,BOLT,ST70,01/06/1950,01/05/1979,0,,,0,
Hinton St Mary Ch Twr,ST70/T29,ST70T029,378669.37,116094.64,0,3,FLAGSTAFF,ST70,01/06/1950,,0,,,1,Dest 06/67
Hints Hill,SK10/11,SK10S011,416210.52,303551.15,151.927,3,PILLAR,SK10,01/06/1943,,1,01/11/1961,N,1,Dest 7/78
Hinwick Wtr Tank,TL05/T22,TL05T022,494797.5,261100.74,0,3,CENTRE,TL05,01/06/1955,,0,,,1,Dest 4/56
Hinwick Wtr Tank,TL05/T22,TL05T022,494796.38,261099.02,0,3,RIVET,TL05,01/06/1955,,0,,,1,Dest 4/56
Hinxhill Ch Sp,TQ94/INT57,TQ94I057,604853.35,142619.65,0,4,SPIRE,TQ94,01/06/1955,,0,,,0,
Hinxton Ch Sp,TL74/INT5,TL74I005,549693.96,245174.48,0,3,SPIRE,TL74,01/06/1948,,0,,,1,Recomputed 11/86
Hinxton Ch Sp,TL74/INT5,TL74I005,549693.97,245174.39,0,3,SPIRE,TL74,01/11/1986,01/07/1975,0,,,0,
Hiorne Twr,TQ00/T36,TQ00T036,501282.33,108086.02,0,4,BOLT,TQ00,01/06/1949,01/03/1968,0,,,0,
Hips Heugh,NZ29/T18,NZ29T018,425218.51,618429.54,57.86,3,PILLAR,NZ29,01/06/1947,01/10/1978,1,01/05/1955,N,0,
Hipswell,NZ42/16,NZ42S016,414010.382,496192.017,314.858,2,BLOCK,NZ42,01/06/1948,,2,01/06/1948,N,1,Dest 07/66
Hipswell,NZ42/16,NZ42S016,414010.382,496192.017,314.858,2,PILLAR,NZ42,01/06/1948,,2,01/06/1948,N,1,Replaced by surface block 08/56
Hirfynydd,SO11/8,SO11S008,283925.407,207600.617,480.907,2,PILLAR,A005,01/06/1956,,1,01/03/1963,N,1,Refixed 07/87
Hirfynydd,SO11/8,SO11S008,283925.283,207600.691,480.907,2,PILLAR,SO11,01/06/1939,,1,01/03/1963,N,1,Also blk 22/80. Refixed 1956
Hirfynydd,SO11/8,SO11S008,283925.511,207600.546,480.907,2,PILLAR,A005,01/07/1987,01/07/1984,1,01/03/1963,N,0,
Hirsel Law,NT72/T49,NT72T049,382448.58,641611.72,94.097,3,PILLAR,NT72,01/06/1957,01/11/1986,1,01/06/1970,N,0,
Hirst South School Cupola,NZ29/INT59,NZ29I059,428180.41,586748.58,0,4,CUPOLA,NZ29,01/06/1954,,0,,,1,Dest 10/69
Hirwaun Brickworks Chy,SO11/INT25,SO11I025,296127.55,206024.29,0,4,CHIMNEY,SO11,01/06/1953,01/10/1960,0,,,0,
Hirwaun Road,SO11/T182,SO11T182,289547.39,206736.85,0,4,BURIED BLK,SO11,01/06/1954,01/12/1960,0,,,0,
Histon Ch Twr,TL36/T19,TL36T019,543619.22,263987.73,0,3,BOLT,TL36,01/06/1950,01/10/1979,0,,,0,
Histon Ch Twr,TL36/T19,TL36T019,543617.38,263986.71,0,3,VANE,TL36,01/06/1950,01/10/1979,0,,,0,
Hitcham Ch Twr,TQ08/T120,TQ08T120,491989.48,182581,0,4,BOLT,TQ08,01/06/1952,,0,,,0,
Hitcham Wtr Tank,TM23/T27,TM23T027,602083.62,249776.19,0,3,BOLT,TM23,01/06/1949,,0,,,1,Dest 08/60
Hitcham Wtr Tank,TM23/T27,TM23T027,602081.32,249772.86,0,3,CENTRE,TM23,01/06/1949,,0,,,1,Dest 08/60
Hitchin Wtr Twr,TL05/T140,TL05T140,518924.78,229181.91,0,3,BOLT,TL05,01/06/1955,,0,,,1,Dest 08/71
Hitchin Wtr Twr,TL05/T140,TL05T140,518924.78,229181.91,0,3,CENTRE,TL05,01/06/1955,,0,,,1,Dest 08/71
Hither Farm,ST86/T91,ST86T091,394470.16,172551.62,71.265,4,BLOCK,ST86,01/06/1964,,1,01/06/1967,N,1,Ht to bolt in block. Recomputed 1987
Hither Farm,ST86/T91,ST86T091,394470.15,172551.6,0,3,BLOCK,ST86,01/01/1987,,0,,,0,
Hither Farm,TL32/T22,TL32T022,548499.33,219266.42,0,4,BLOCK,TL32,01/06/1949,,0,,,1,Dest 10/75
Hither Green Asylum Vane,TQ47/INT104,TQ47I104,538768.47,174105.54,0,3,VANE,TQ47,01/06/1945,01/10/1969,0,,,0,
Hither Longfield,TM23/T28,TM23T028,609617.74,250477.52,67.735,3,PILLAR,TM23,01/06/1948,01/09/1980,1,01/06/1954,N,0,
Hitteril Hill,NS83/T24,NS83T024,296493.05,608140.14,491.337,3,PILLAR,NS83,01/06/1950,01/09/1976,2,01/06/1950,N,0,
Hoads Hill,SU31/T83,SU31T083,457937.89,110115.84,64.108,3,PILLAR,SU31,01/06/1942,01/10/1977,1,01/01/1958,N,0,
Hoarcross Ch Twr,SK22/T51,SK22T051,412482.17,323047.31,0,3,BOLT,SK22,01/06/1953,01/04/1978,0,,,0,
Hoarcross Ch Twr Vane,SK22/INT7,SK22I007,412485.02,323045.78,0,3,VANE,SK03,01/06/1948,01/04/1978,0,,,0,Also Block SJ82
Hoath Ch Sp,TR26/INT72,TR26I072,620299.95,164187.12,0,4,SPIRE,TR26,01/06/1954,,0,,,0,
Hob Hill,SP38/32,SP38S032,406809.606,272379.856,182.547,2,PILLAR,SP38,01/06/1943,01/06/1982,1,01/06/1965,N,0,
Hobb Hill,SP42/T113,SP42T113,442885.48,236655.85,0,4,BLOCK,SP42,01/06/1963,,0,,,1,Recomp 1986
Hobb Hill,SP42/T113,SP42T113,442885.49,236655.86,0,3,BLOCK,SP42,01/04/1986,,0,,,0,
Hobbacott,SS30/T22,SS30T022,224608.69,104994.87,128.921,3,PILLAR,SS30,01/06/1949,01/05/1974,1,01/06/1973,N,0,
Hobbs Twr,TQ53/T132,TQ53T132,536042.85,141338.11,0,4,RIVET,TQ53,01/06/1953,,0,,,1,Dest 11/61
Hobs Hill Obs Post,NZ42/T311,NZ42T311,465384.62,520418.45,0,4,RIVET,NZ42,01/06/1966,,0,,,1,Dest 06/73
Hobshill,NK03/T18,NK03T018,404424.15,837064.53,76.452,3,PILLAR,NK03,01/06/1953,01/08/1981,1,01/02/1955,N,0,
Hoby Ch Sp,SK73/INT27,SK73I027,466906.77,317345.95,0,3,SPIRE,SK73,01/06/1949,01/05/1984,0,,,0,
Hockenden,TQ47/T479,TQ47T479,550156.33,169010.14,0,4,BURIED BLK,TQ47,01/06/1954,,0,,,1,Dest 09/86
Hockley Ch Twr,TQ87/T228,TQ87T228,582584.44,193398.94,0,4,RIVET,TQ87,01/06/1964,,0,,,0,
Hockley Wtr Twr,/PP220,0,582438.63,192208.36,0,3,MAST,TQ87,01/06/1984,01/06/1984,0,,,0,RADIO MAST
Hockley Wtr Twr,PP220,PP220,582441.469,192208.498,0,1,BOLT,FIG5,01/06/1938,01/08/1980,0,,,0,
Hockliffe Ch Twr,TL05/T23,TL05T023,496590.51,226964,0,3,BOLT,TL05,01/06/1955,01/04/1973,0,,,0,
Hockliffe Ch Twr,TL05/T23,TL05T023,496591.97,226966.18,0,3,CENTRE,TL05,01/06/1955,01/04/1973,0,,,0,
Hockliffe Ch Twr,TL05/T23,TL05T023,496590.08,226964.94,0,3,FLAGSTAFF,TL05,01/06/1955,01/04/1973,0,,,0,
Hockliffe Ch Twr,TL05/T23,TL05T023,496591.77,226966.15,0,3,VANE,TL05,01/06/1955,01/04/1973,0,,,0,
Hockwold-Cum-Wilton Ch Sp,TL78/INT22,TL78I022,573450.734,288005.418,0,2,SPIRE,TL78,01/06/1938,01/08/1976,0,,,0,
Hodbarrow,SD47/T27,SD47T027,318253.62,478187.01,20.439,3,PILLAR,SD47,01/06/1950,01/11/1976,1,01/02/1956,N,0,
Hoddern Farm,TQ00/T33,TQ00T033,542700.38,102902.29,61.999,3,PILLAR,TQ00,01/06/1947,01/11/1978,1,01/06/1967,N,0,
Hoddesdon Parish Ch Sp,TL51/INT16,TL51I016,537292.6,208954.95,0,4,SPIRE,TL51,01/06/1964,,0,,,0,
Hoddesdon School,TL51/T69,TL51T069,537936.86,210347.59,0,4,RIVET,TL51,01/06/1964,,0,,,0,
Hodge Hill,SJ90/T44,SJ90T044,392983.32,282946.5,0,4,BURIED BLK,SJ90,01/06/1949,01/09/1970,0,,,0,
Hodhill,SK56/T60,SK56T060,452249.16,366966.77,127.942,4,BLOCK,SK56,01/06/1955,01/06/1962,1,01/06/1961,N,0,
Hoe Lane,TL51/T27,TL51T027,534655.57,198095.36,0,4,BLOCK,TL51,01/06/1960,,0,,,1,Dest 09/77
Hoftens Cross,SK26/T13,SK26T013,407629.26,347765.61,363.138,3,PILLAR,SK26,01/06/1948,01/07/1978,1,01/10/1961,N,0,
Hog Fell,NY29/T13,NY29T013,339258.62,589279.03,371.856,3,PILLAR,NY29,01/06/1959,01/05/1977,2,01/06/1959,N,0,
Hog Hill,NT33/T10,NT33T010,316258.51,642141.16,365.455,3,BLOCK,NT33,01/06/1959,01/08/1981,2,01/06/1959,N,0,HT TO BOLT IN BLOCK
Hog Hill,TQ47/T509,TQ47T509,547332.8,191631.24,0,4,BURIED BLK,TQ47,01/06/1955,01/05/1980,0,,,0,
Hog Lowe Pike,SE02/T22,SE02T022,374783.75,421406.21,382.947,3,PILLAR,SE02,01/06/1948,01/10/1979,1,01/07/1961,N,0,
Hograh Moor,NZ42/51,NZ42S051,464168.695,505672.968,370.941,2,PILLAR,NZ42,01/06/1948,01/04/1981,2,01/06/1948,N,0,
Hogs Back,SU77/T29,SU77T029,491050.19,148295.58,148.279,3,PILLAR,SU77,01/06/1951,01/06/1994,1,01/06/1957,N,0,
