Trig Name,STATION NAME,New Name,EASTING,NORTHING,HEIGHT,ORDER,TYPE OF MARK,SECONDARY COMPUTING BLOCK,Computing Date,Maintained,CLASS OF LEVELLING,Date of Levelling,LEVELLING DATUM,DESTROYED MARK INDICATOR,COMMENTS
Abbots Leigh Ch Twr,ST57/T40,ST57T040,354429.02,174016.1,0,3,FLAGSTAFF,ST57,01/06/1970,01/01/1980,0,,,0,
Abbots Leigh Ch Twr,ST57/T40,ST57T040,354432.45,174017.96,0,3,PINNACLE,ST57,01/06/1970,01/01/1980,0,,,0,
Abbots Ripton,TL36/T82,TL36T082,521625.67,276027.42,48.249,3,PILLAR,TL36,01/06/1959,01/09/1979,1,01/06/1966,N,0,
Abbots Ripton Wtr Tank,TL36/2,TL36S002,521265.693,276128.708,0,2,BOLT,TL36,01/06/1950,,0,,,1,Destroyed 01/89-Replaced by TL/36/22
Abbots Ripton Wtr Tank,TL36/2,TL36S002,521267.92,276128.02,0,3,CENTRE,TL08,01/06/1954,,0,,,1,Destroyed 01/89-Replaced by TL/36/22
Abbots Ripton Wtr Tnk (1988),TL36/22,TL36S022,521267.896,276127.906,0,2,BOLT,A007,01/01/1989,,0,,,0,
Abbots Road,TM23/T84,TM23T084,600628.54,223157.14,0,4,BURIED BLK,TM23,01/06/1949,01/12/1959,0,,,0,
Abbots Spinney,SP69/T79,SP69T079,463570.56,308478.49,0,4,BLOCK,SP69,01/06/1949,,0,,,1,Dest 11/64
Abbotsbury Castle,ST70/1,ST70S001,355658.584,86493.86,215.831,2,PILLAR,ST70,01/06/1950,01/05/1977,1,01/06/1953,N,0,
Abbotshall Ch Sp,NT48/INT204,NT48I204,327375.21,691343.71,0,3,SPIRE,NT48,01/03/1988,,0,,,0,
Abbotsley Ch Twr,TL36/1,TL36S001,522763.353,256534.355,0,2,BOLT,TL36,01/06/1950,,0,,,1,Replaced by x-cut in triangle 07/65
Abbotsley Ch Twr,TL36/1,TL36S001,522763.353,256534.355,0,2,CUT,TL36,01/06/1950,01/07/1975,0,,,0,X-cut in triangle.
Abbotsley Ch Twr,TL36/1,TL36S001,522762.9,256536.94,0,3,FLAGSTAFF,TL36,01/06/1950,,0,,,1,Dest 07/65
Abbotsley Ch Twr,TL36/1,TL36S001,522763.38,256535.42,0,3,VANE,TL36,01/06/1989,01/06/1950,0,,,0,FIXED WITH 1950 OBS
Abbotswood,SU31/T316,SU31T316,436700.85,123397.1,0,4,BLOCK,SU31,01/06/1953,,0,,,1,Dest 05/86
Abbotts,TQ94/T91,TQ94T091,581155.07,154338.04,0,4,BLOCK,TQ94,01/06/1955,,0,,,0,
Aber Canaid Ch Belfry,SO11/INT2,SO11I002,305856.79,203731.96,0,4,BELFRY,SO11,01/06/1953,,0,,,1,Dest 12/82
Aberaman Colly Chy,SO11/INT21,SO11I021,301542.1,200340.02,0,4,CHIMNEY,SO11,01/06/1953,,0,,,1,Dest 06/82
Aberaman Granary,SO11/T90,SO11T090,301810.38,200731.41,0,4,RIVET,SO11,01/06/1953,,0,,,1,Dest 11/73
Aberavon Moors,SN80/T26,SN80T026,275597.4,190838.31,0,4,BLOCK,SN80,01/06/1948,,0,,,1,Dest 12/73
Abercerdin,ST07/T207,ST07T207,297778.38,189960.94,0,4,BLOCK,ST07,01/06/1955,01/08/1962,0,,,0,
Aberchirder Ch Twr Vane,NJ75/INT2,NJ75I002,362889.13,852604.53,0,3,VANE,NJ75,01/06/1952,01/06/1987,0,,,0,
Abercwmboi,SO11/T91,SO11T091,303308.71,198438.63,0,4,BOLT,SO11,01/06/1953,01/11/1960,0,,,1,Destroyed 05/93
Abercwmboi Auxiliary,SO11/T91,SO11T091,303256.78,198466.23,0,4,BURIED BLK,SO11,01/06/1969,01/11/1960,0,,,1,Destroyed 05/93
Abercwmboi Auxiliary,SO11/T91,SO11T091,303256.35,198465.85,0,4,BURIED BLK,SO11,01/06/1953,,0,,,1,Refixed 1969
Abercwmboi Fuel Works Chy,SO11/INT20,SO11I020,302891.62,200181.2,0,4,CHIMNEY,SO11,01/06/1953,01/10/1960,0,,,0,
Aberdare Brickworks Chy,SO11/INT17,SO11I017,299237.15,204444.26,0,4,CHIMNEY,SO11,01/06/1953,01/10/1960,0,,,1,Destroyed 01/89
Aberdare Ch Sp,SO11/INT18,SO11I018,300235.01,202594.81,0,4,SPIRE,SO11,01/06/1953,01/10/1960,0,,,0,
Aberdare Cws Creamery Chy,SO11/INT19,SO11I019,299448.84,204204.86,0,4,CHIMNEY,SO11,01/06/1953,,0,,,1,Dest 07/85
Aberedw Hill,SN94/T1,SN94T001,308443.97,250775.65,451.408,3,PILLAR,SN94,01/06/1952,01/06/1976,2,01/06/1952,N,0,
Aber-Fan,SO11/T73,SO11T073,306292.45,200011.57,0,4,BURIED BLK,SO11,01/06/1953,01/11/1960,0,,,0,
Aberffraw,SH57/T1,SH57T001,234639.47,368534.72,42.318,3,PILLAR,SH57,01/06/1953,01/06/1979,1,01/06/1975,N,0,
Abergavenny St Marys Ch Twr,SO52/T1,SO52T001,330107.48,214133.48,0,3,BOLT,SO52,01/06/1954,01/01/1981,0,,,0,
Abergavenny St Marys Ch Twr,SO52/T1,SO52T001,330103.68,214129.84,0,3,FLAGSTAFF,SO52,01/06/1954,01/01/1981,0,,,0,
Abergavenny St Marys Ch Twr,SO52/T1,SO52T001,330103.76,214137.09,0,3,VANE,SO52,01/06/1954,01/01/1981,0,,,0,
Abergavenny Town Hall Sp,SO52/INT13,SO52I013,329918.23,214196.29,0,3,SPIRE,SO52,01/06/1954,01/01/1981,0,,,0,
Abergele Ch Sp,SD30/INT1,SD30I001,294563.49,377861.51,0,3,SPIRE,SD30,01/06/1947,01/06/1980,0,,,0,
Aberlour Distillery Chy,NJ45/INT17,NJ45I017,326491.14,842486.93,0,3,CHIMNEY,NJ45,01/06/1953,,0,,,1,Dest 7/73
Abernant Brickworks Chy,SO11/INT22,SO11I022,300977.73,203478.9,0,4,CHIMNEY,SO11,01/06/1953,,0,,,1,Dest 06/82
Aberpergwm,SO11/T176,SO11T176,286074.94,206127.53,0,4,BURIED BLK,SO11,01/06/1954,01/12/1960,0,,,0,
Abersychan,SO11/T252,SO11T252,325164.16,202847.76,0,4,BURIED BLK,SO11,01/06/1957,01/10/1960,0,,,0,
Abertillery St Michaels Ch Sp,SO11/INT55,SO11I055,321722.46,204155.55,0,4,SPIRE,SO11,01/06/1955,01/10/1960,0,,,0,
Abertridwr,ST07/T166,ST07T166,312792.42,189616.7,0,4,BURIED BLK,ST07,01/06/1954,01/11/1960,0,,,0,
Aberuthven,NO02/T1,NO02T001,298228.69,715803.98,40.227,3,PILLAR,NO02,01/06/1951,01/07/1991,1,01/01/1956,N,1,Dest 01/2015
Aberystwyth,PP108,PP108,259253.827,283340.656,148.19,1,PILLAR,FIG4,01/06/1937,01/06/1975,1,01/06/1937,N,0,
Aberystwyth College Twr,SN55/T62,SN55T062,258072.72,281694.25,0,3,BOLT,SN55,01/06/1952,01/06/1975,0,,,0,
Aberystwyth College Twr,SN55/T62,SN55T062,258070.18,281693.76,0,3,FLAGSTAFF,SN55,01/06/1952,01/06/1975,0,,,0,
Abhail,NS04/T6,NS04T006,196909.61,644325.59,858.926,3,BOLT,NS04,01/06/1956,01/10/1978,2,01/06/1956,N,0,HT TO BOLT
A'Bhaintir,NG24/31,NG24S031,176808.53,856372.546,174.955,2,PILLAR,NH16,01/06/1958,01/05/1980,2,01/06/1958,N,0,
Abingdon Market Hall,SU59/T28,SU59T028,449786.84,197041.97,0,3,BOLT,SU59,01/06/1951,,0,,,1,Dest 03/63
Abingdon Market Hall Fs,SU59/INT24,SU59I024,449785.22,197042.8,0,3,SPIRE,SU59,01/06/1951,01/04/1972,0,,,0,
Abingdon Market Hall Vane,SU59/INT23,SU59I023,449785.74,197050.82,0,3,VANE,SU59,01/06/1951,01/04/1972,0,,,0,
Abingdon Methodist Ch Sp,SU59/INT4,SU59I004,449279.69,197188.8,0,3,SPIRE,SU59,01/06/1951,01/04/1972,0,,,0,
Abingdon St Helens Ch Sp,SU59/INT7,SU59I007,449697.47,196795.19,0,3,SPIRE,SU59,01/06/1951,01/04/1972,0,,,0,
Abinger Forest,TQ47/T560,TQ47T560,515824.42,145549.16,222.281,4,BLOCK,TQ47,01/06/1958,,1,01/10/1972,N,0,Ht to bolt in block
Abington Mill Chy,SP74/INT11,SP74I011,478397.4,260494.47,0,4,CHIMNEY,SP74,01/06/1956,,0,,,1,Dest 3/87
Abington Park,TL74/T11,TL74T011,551948.91,246743.71,77.973,3,PILLAR,TL74,01/11/1986,01/07/1975,1,01/06/1969,N,0,
Abington Park (old),TL74/T11,TL74T011,551948.99,246743.82,77.973,3,PILLAR,TL74,01/06/1948,,1,01/06/1969,N,1,Recomputed 11/86
Abloads Court,SO92/T71,SO92T071,382707.22,221282.05,0,4,BURIED BLK,SO92,01/06/1951,01/08/1962,0,,,0,
Abney Moor,SK39/11,SK39S011,418042.697,379420.982,416.661,2,PILLAR,SK39,01/06/1948,01/05/1983,2,01/06/1947,N,0,visited 03/03/02
Aborfield Ch Sp,SU77/INT2,SU77I002,475780.4,167813.47,0,3,SPIRE,SU77,01/06/1951,01/02/1978,0,,,0,
Aboyne Ch Sp,NJ40/INT1,NJ40I001,352784.02,798371.67,0,3,SPIRE,NJ40,01/06/1956,01/08/1973,0,,,0,
Abram,SD80/T246,SD80T246,362836.55,400773.83,0,4,BLOCK,SD80,01/06/1951,,0,,,1,Dest 04/84
Acacia Farm,TQ47/T342,TQ47T342,548654.54,165778.89,0,4,BURIED BLK,TQ47,01/06/1950,,0,,,0,
Acc Tower,SU77/T308,SU77T308,487732.57,152140.01,0,3,DISC,SU77,01/06/1989,01/06/1989,0,,,0,
Accrington Coaling Plant,SD74/T100,SD74T100,375037.95,428319.99,0,4,BOLT,SD74,01/06/1953,,0,,,1,Dest 10/73
Accrington High School,SD74/T54,SD74T054,375426.69,429462.63,0,4,BURIED BLK,SD74,01/06/1953,,0,,,0,
Ace Mill,SD80/T3,SD80T003,389632.3,403764.56,0,3,BOLT,SD80,01/06/1945,01/11/1979,0,,,1,Destroyed 07/93
Ace Mill,SD80/T3,SD80T003,389635.14,403764.64,0,3,FLAGSTAFF,SD80,01/06/1945,01/11/1979,0,,,1,Destroyed 07/93
Achadh,NS29/T1,NS29T001,202333.66,724872.83,277.34,3,PILLAR,NS29,01/06/1957,01/06/1980,1,01/07/1959,N,0,
Achafour,NS29/1,NS29S001,212205.658,670262.284,345.948,2,PILLAR,NS29,01/06/1952,01/07/1968,2,01/06/1952,N,0,
Achaglachgach,NS04/T7,NS04T007,179384.06,663632.02,174.65,3,PILLAR,NS04,01/06/1956,01/07/1982,2,01/06/1956,N,0,
Achaidh Mhoir,NG80/DM/T20,NG80T020,166651.25,792281.32,88.48,3,PILLAR,NG80,01/06/1959,01/06/1978,1,01/05/1959,N,0,
Achalibster,ND25/1,ND25S001,324468.366,948761.971,107.573,2,PILLAR,ND25,01/06/1952,01/06/1981,1,01/04/1954,N,0,
Achanrear,NM52/T32,NM52T032,194379.07,740880.49,67.519,3,PILLAR,NM52,01/06/1960,01/05/1981,1,01/08/1960,N,0,
A'Chaoruinn,NC20/DMH133,NC20H133,202514.23,912655.33,0,4,BOLT,NC20,01/06/1972,,0,,,0,
Achille Serre Chy,TQ47/INT2,TQ47I002,535661.87,189894.92,0,3,CHIMNEY,TQ47,01/06/1945,,0,,,1,Dest 04/70
Achiltibuie,NC20/DMH135,NC20H135,202712.64,908329.59,0,4,BOLT,NC20,01/06/1972,,0,,,0,
Achleek,NM52/H248,NM52H248,179730.82,760035.42,0,4,BOLT,NM52,01/06/1960,,0,,,0,
Achlochan,NC20/DMH136,NC20H136,202472.03,907055.22,0,4,BLOCK,NC20,01/06/1972,,0,,,0,
Achnagarron Ch Sp,NH54/INT1,NH54I001,268318.62,870201.87,0,3,SPIRE,NH54,01/06/1955,01/06/1988,0,,N,0,
Achnasaul Geal Charn,NH40/1,NH40S001,215616.142,794264.743,804.672,2,PILLAR,NG80,01/06/1959,01/06/1980,2,01/06/1959,N,0,
Achnasoul,NH54/T1,NH54T001,248549.15,852707.17,71.816,3,PILLAR,NH54,01/06/1955,01/06/1988,1,01/06/1957,N,0,
Achtemarack,NH54/T2,NH54T002,247836.3,832190.68,349.419,3,PILLAR,NH54,01/06/1955,01/05/1977,1,01/07/1957,N,0,
